Class,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender,Customer Type,Type of Travel,Class
Eco Plus,0.037762083755166646,0.03786840786645633,0.30331794641935583,0.01632904240548397,0.04812381567570296,0.013046689254658517,0.024098832004817914,0.09683628518761811,0.025971346475952055,0.04986291262597734,0.019380412793932135,0.018146007300413446,0.034834557300935376,0.028343571094778204,0.027945739525413894,0.01978761144274215,0.01721544913335715,0.021149606489329703,0.010979385022000642,0.03785604455369014,0.11114425367221759,0.0
Business,0.036343874459744435,0.023778627929234096,0.11412625062332195,0.02043902934338655,0.035187071659240135,0.02384490470871493,0.011875032434032224,0.16919356764587093,0.07024218392397157,0.09462820644673635,0.04768751908923515,0.052878431616742445,0.036180253698631405,0.03724622140364914,0.030859512240452625,0.04402110825171726,0.009691758604685108,0.010364008313733129,0.004909085199120609,0.06587863360425657,0.060624718803523533,0.0
Eco,0.04321359764208383,0.046975926586209506,0.3376872340016748,0.015927207830133218,0.07957819126078043,0.016994772327212627,0.014201672727521568,0.10349606766609579,0.017837089847292504,0.02535740963751481,0.021783347513601208,0.019514059209515464,0.029391521126903027,0.028876440865911564,0.030311403497226087,0.01594015833151689,0.01894337216704579,0.02184986073704075,0.010729583970176901,0.038761100853486816,0.06262998220105649,0.0
